# Darya core lexicon - B2 batch (AI scripted)
# rank|dari|translit|pos|register|glossEn|exampleDari|exampleTranslit|exampleEn|tags|variants
2780|تکثیر سلاح‌های هسته‌ای|taksīr-i silāḥ-hā-yi hastā'ī|noun|formal|nuclear proliferation|پیمان منع تکثیر سلاح‌های هسته‌ای باید رعایت شود.|paymān-i man'-i taksīr-i silāḥ-hā-yi hastā'ī bāyad ri'āyat shawad.|The Nuclear Non-Proliferation Treaty must be observed.|Abstract Concepts|
2781|بازدارندگی|bāz-dārandagī|noun|formal|deterrence|نیروی نظامی قدرتمند نقش بازدارندگی دارد.|nērū-yi niẓāmī-yi qudratmand naqsh-i bāz-dārandagī dārad.|A powerful military force plays a role of deterrence.|Abstract Concepts|
2782|توازن قوا|tawāzun-i quwā|noun|formal|balance of power|حفظ توازن قوا در منطقه بسیار مهم است.|ḥifẓ-i tawāzun-i quwā dar minṭaqa bisyār muhimm ast.|Maintaining the balance of power in the region is very important.|Society & Politics|
2783|هژمونی|hējmūnī|noun|formal|hegemony|آنها با هژمونی قدرت‌های غربی مخالفند.|ānhā bā hējmūnī-yi qudrat-hā-yi gharbī mukhālifand.|They oppose the hegemony of Western powers.|Abstract Concepts|
2784|استعمار|isti'mār|noun|formal|colonialism|مبارزات طولانی برای پایان دادن به استعمار انجام شد.|mubārazāt-i ṭūlānī barāyi pāyān dādan ba isti'mār anjām shud.|Long struggles were carried out to end colonialism.|Abstract Concepts|
2785|امپریالیسم|impiryālīsm|noun|formal|imperialism|برخی کشورها از سیاست‌های امپریالیسم انتقاد می‌کنند.|barkhī kishwar-hā az siyāsat-hā-yi impiryālīsm intiqād mēkunand.|Some countries criticize the policies of imperialism.|Abstract Concepts|
2786|خودمختاری|khwud-mukhtārī|noun|formal|autonomy|این منطقه خواهان خودمختاری بیشتر است.|īn minṭaqa khwāhān-i khwud-mukhtārī-yi bēshtar ast.|This region seeks greater autonomy.|Abstract Concepts|
2787|استقلال‌طلبی|istiqlāl-ṭalabī|noun|formal|separatism|جنبش‌های استقلال‌طلبی در چندین منطقه فعال هستند.|junbish-hā-yi istiqlāl-ṭalabī dar chandin minṭaqa fa'āl hastand.|Separatist movements are active in several regions.|Abstract Concepts|
2788|محاسبات ابری|muhāsibāt-i abrī|noun|formal|cloud computing|شرکت ما به سمت محاسبات ابری رفته است.|shirkat-i mā ba samt-i muhāsibāt-i abrī rafta ast.|Our company has moved towards cloud computing.|Nature & Environment|
2789|مهندسی نرم‌افزار|muhandisī-yi narm-afzār|noun|formal|software engineering|مهندسی نرم‌افزار نیازمند دقت بالایی است.|muhandisī-yi narm-afzār niyāzmand-i diqqat-i bālā'ī ast.|Software engineering requires high precision.|Science & Technology|
2790|داده‌کاوی|dāda-kāwī|noun|formal|data mining|داده‌کاوی برای استخراج الگوها استفاده می‌شود.|dāda-kāwī barāyi istikhrāj-i ulgūhā istifāda mēshavad.|Data mining is used to extract patterns.|Science & Technology|
2791|محیط توسعه|muhīt-i tawsē'a|noun|formal|development environment|برنامه‌نویسان به محیط توسعه مناسب نیاز دارند.|barnāmanawīsān ba muhīt-i tawsē'a-yi munāsib niyāz dārand.|Programmers need an appropriate development environment.|Abstract Concepts|
2792|پردازشگر|pardāzishgar|noun|formal|processor|پردازشگر جدید سرعت بالاتری دارد.|pardāzishgar-i jadīd sur'at-i bālātarī dārad.|The new processor has a higher speed.|Abstract Concepts|
2793|رایانش کوانتومی|rāyānish-i kwāntūmī|noun|formal|quantum computing|رایانش کوانتومی آینده تکنولوژی است.|rāyānish-i kwāntūmī āyanda-yi tiknūlūzhī ast.|Quantum computing is the future of technology.|Abstract Concepts|
2794|متن‌باز|matn-bāz|noun|formal|open-source|نرم‌افزارهای متن‌باز محبوبیت زیادی دارند.|narm-afzārhā-yi matn-bāz mahbūbiyat-i ziyādī dārand.|Open-source software has great popularity.|Abstract Concepts|
2795|تجربه کاربری|tajruba-yi kārbarī|noun|formal|user experience|طراحان بر روی بهبود تجربه کاربری تمرکز دارند.|tarāhān bar rō-yi bihbūd-i tajruba-yi kārbarī tamarkuz dārand.|Designers are focusing on improving the user experience.|Abstract Concepts|
2796|مدار مجتمع|madār-i mujtama'|noun|formal|integrated circuit|مدارهای مجتمع در تلفن‌های هوشمند استفاده می‌شوند.|madārhā-yi mujtama' dar tilifūnhā-yi hūshmand istifāda mēshavand.|Integrated circuits are used in smartphones.|Abstract Concepts|
2797|تحلیل داده|tahlīl-i dāda|noun|formal|data analysis|تحلیل داده‌ها به تصمیم‌گیری کمک می‌کند.|tahlīl-i dādahā ba tasmīmgīrī kumak mēkunad.|Data analysis helps in decision making.|Science & Technology|
2798|بیومتریک|biyūmitrīk|noun|formal|biometrics|سیستم‌های بیومتریک امنیت را افزایش می‌دهند.|sīstam-hā-yi biyūmitrīk amniyat rā afzāyish mēdihand.|Biometric systems increase security.|Abstract Concepts|
2799|استارتاپ|istārtāp|noun|formal|startup|این استارتاپ روی هوش مصنوعی کار می‌کند.|īn istārtāp rō-yi hūsh-i masnū'ī kār mēkunad.|This startup is working on artificial intelligence.|Abstract Concepts|
2800|سرمایه‌گذاری خطرپذیر|sarmāya-guzārī-yi khatar-pazīr|noun|formal|venture capital|آنها توانستند سرمایه‌گذاری خطرپذیر جذب کنند.|ānhā tawānistand sarmāya-guzārī-yi khatar-pazīr jazb kunand.|They managed to attract venture capital.|Geography & Places|
2801|صفحه خورشیدی|safha-yi khwurshēdī|noun|formal|solar panel|صفحات خورشیدی انرژی پاک تولید می‌کنند.|safhahā-yi khwurshēdī inirzhī-yi pāk tawlīd mēkunand.|Solar panels generate clean energy.|Abstract Concepts|
2802|مهندسی عمران|muhandisī-yi 'umrān|noun|formal|civil engineering|مهندسی عمران در ساخت پل‌ها نقش دارد.|muhandisī-yi 'umrān dar sākht-i pul-hā naqsh dārad.|Civil engineering plays a role in building bridges.|Abstract Concepts|
2803|توربین بادی|tūrbīn-i bādī|noun|formal|wind turbine|توربین‌های بادی برق تولید می‌کنند.|tūrbīn-hā-yi bādī barq tawlīd mēkunand.|Wind turbines generate electricity.|Nature & Environment|
2804|ذخیره‌سازی انرژی|zakhīra-sāzī-yi inirzhī|noun|formal|energy storage|سیستم‌های ذخیره‌سازی انرژی در حال پیشرفت هستند.|sīstam-hā-yi zakhīra-sāzī-yi inirzhī dar hāl-i pēshraft hastand.|Energy storage systems are advancing.|Science & Technology|
2805|شبکه هوشمند|shabaka-yi hūshmand|noun|formal|smart grid|شبکه هوشمند توزیع برق را بهینه‌سازی می‌کند.|shabaka-yi hūshmand tawzī'-i barq rā bihkīna-sāzī mēkunad.|The smart grid optimizes electricity distribution.|Abstract Concepts|
2806|مهندسی مکانیک|muhandisī-yi makānīk|noun|formal|mechanical engineering|او در رشته مهندسی مکانیک تحصیل کرده است.|ū dar rishta-yi muhandisī-yi makānīk tahsīl karda ast.|He studied mechanical engineering.|Abstract Concepts|
2807|طراحی به کمک کامپیوتر|tarāhī ba kumak-i kāmpīyūtar|noun|formal|computer-aided design|طراحی به کمک کامپیوتر کار مهندسان را آسان کرده است.|tarāhī ba kumak-i kāmpīyūtar kār-i muhandisān rā āsān karda ast.|Computer-aided design has made engineers' work easier.|Science & Technology|
2808|پلیمر|pūlīmar|noun|formal|polymer|پلیمرهای جدید در صنعت هوافضا کاربرد دارند.|pūlīmarhā-yi jadīd dar san'at-i hawā-fazā kārburd dārand.|New polymers are used in the aerospace industry.|Abstract Concepts|
2809|هوافضا|hawā-fazā|noun|formal|aerospace|صنعت هوافضا نیازمند فناوری‌های پیشرفته است.|san'at-i hawā-fazā niyāzmand-i fanāwarīhā-yi pēshrafta ast.|The aerospace industry requires advanced technologies.|Abstract Concepts|
2810|موشک|mūshak|noun|formal|rocket|پرتاب موشک با موفقیت انجام شد.|partāb-i mūshak bā muwaffaqiyat anjām shud.|The rocket launch was successful.|Abstract Concepts|
2811|رادار|rādār|noun|formal|radar|سیستم رادار برای شناسایی هواپیماها استفاده می‌شود.|sīstam-i rādār barāyi shināsā'ī-yi hawāpaymāhā istifāda mēshavad.|The radar system is used for detecting aircraft.|Abstract Concepts|
2812|مکانیک کوانتوم|makānīk-i kwāntūm|noun|formal|quantum mechanics|مکانیک کوانتوم رفتار ذرات زیراتمی را توضیح می‌دهد.|makānīk-i kwāntūm raftār-i zarrāt-i zēr-atumī rā tawzēh mēdihad.|Quantum mechanics explains the behavior of subatomic particles.|Abstract Concepts|
2813|نیمه‌رسانا|nīma-rasānā|noun|formal|semiconductor|صنعت نیمه‌رسانا پایه الکترونیک مدرن است.|san'at-i nīma-rasānā pāya-yi ilīktrūnīk-i mudirn ast.|The semiconductor industry is the foundation of modern electronics.|Abstract Concepts|
2814|لیزر|lēzar|noun|formal|laser|از لیزر در جراحی‌های دقیق استفاده می‌شود.|az lēzar dar jarrāhīhā-yi daqīq istifāda mēshavad.|Lasers are used in precise surgeries.|Abstract Concepts|
2815|پرینتر سه‌بعدی|prīntar-i si-bu'dī|noun|formal|3D printer|پرینتر سه‌بعدی ساخت قطعات را متحول کرده است.|prīntar-i si-bu'dī sākht-i qata'āt rā mutahawwil karda ast.|3D printing has revolutionized parts manufacturing.|Abstract Concepts|
2816|زیست‌فناوری|zīst-fanāwarī|noun|formal|biotechnology|زیست‌فناوری به تولید داروهای جدید کمک می‌کند.|zīst-fanāwarī ba tawlīd-i dārūhā-yi jadīd kumak mēkunad.|Biotechnology helps in producing new drugs.|Abstract Concepts|
2817|ژنومیک|zhinūmīk|noun|formal|genomics|تحقیقات ژنومیک در حال گسترش است.|tahqīqāt-i zhinūmīk dar hāl-i gustarish ast.|Genomics research is expanding.|Abstract Concepts|
2818|سلول‌های بنیادی|silūl-hā-yi bunyādī|noun|formal|stem cells|درمان با سلول‌های بنیادی امیدهای جدیدی ایجاد کرده است.|darmān bā silūl-hā-yi bunyādī umēdhā-yi jadīdī ījād karda ast.|Stem cell therapy has created new hopes.|Abstract Concepts|
2819|اینترانت|īntrānēt|noun|formal|intranet|شرکت از اینترانت برای ارتباطات داخلی استفاده می‌کند.|shirkat az īntrānēt barāyi irtibātāt-i dākhalī istifāda mēkunad.|The company uses an intranet for internal communications.|Abstract Concepts|
2820|میکروکنترلر|mīkrūkūntrūlar|noun|formal|microcontroller|میکروکنترلرها در سیستم‌های تعبیه‌شده کاربرد دارند.|mīkrūkūntrūlarhā dar sīstam-hā-yi ta'bīya-shuda kārburd dārand.|Microcontrollers are used in embedded systems.|Abstract Concepts|
2821|تعبیه‌شده|ta'bīya-shuda|adjective|formal|embedded|سیستم‌های تعبیه‌شده در خودروها بسیار مهم هستند.|sīstam-hā-yi ta'bīya-shuda dar khwudrōhā bisyār muhim hastand.|Embedded systems are very important in cars.|Descriptions & Qualities|
2822|حسگر|hisgar|noun|formal|sensor|حسگرهای دما در این دستگاه تعبیه شده‌اند.|hisgarhā-yi damā dar īn dastgāh ta'bīya shuda-and.|Temperature sensors are embedded in this device.|Abstract Concepts|
2823|عملگر|amalgar|noun|formal|actuator|عملگرها سیگنال‌های الکتریکی را به حرکت تبدیل می‌کنند.|amalgarhā sīgnāl-hā-yi ilīktrīkī rā ba harakat tabdīl mēkunand.|Actuators convert electrical signals into motion.|Abstract Concepts|
2824|رایانش لبه‌ای|rāyānish-i laba-ī|noun|formal|edge computing|رایانش لبه‌ای تأخیر در پردازش داده‌ها را کاهش می‌دهد.|rāyānish-i laba-ī ta'khīr dar pardāzish-i dādahā rā kāhish mēdihad.|Edge computing reduces latency in data processing.|Abstract Concepts|
2825|پردازش زبان طبیعی|pardāzish-i zabān-i tabī'ī|noun|formal|natural language processing|پردازش زبان طبیعی دستیارهای صوتی را هوشمند کرده است.|pardāzish-i zabān-i tabī'ī dastyārhā-yi sawtī rā hūshmand karda ast.|Natural language processing has made voice assistants smart.|Communication & Media|
2826|یادگیری عمیق|yādgīrī-yi amīq|noun|formal|deep learning|یادگیری عمیق زیرشاخه‌ای از یادگیری ماشین است.|yādgīrī-yi amīq zēr-shākha-ī az yādgīrī-yi māshīn ast.|Deep learning is a subfield of machine learning.|Abstract Concepts|
2827|بینایی ماشین|bīnā'ī-yi māshīn|noun|formal|computer vision|بینایی ماشین در خودروهای خودران کاربرد دارد.|bīnā'ī-yi māshīn dar khwudrōhā-yi khwud-rān kārburd dārad.|Computer vision is used in self-driving cars.|Science & Technology|
2828|خودرو خودران|khwudrō-yi khwud-rān|noun|formal|self-driving car|خودروهای خودران آینده حمل و نقل هستند.|khwudrōhā-yi khwud-rān āyanda-yi haml u naql hastand.|Self-driving cars are the future of transportation.|Travel & Transportation|
2829|رمزگشایی|ramzgushā'ī|noun|formal|decryption|رمزگشایی پیام‌ها نیازمند کلید خصوصی است.|ramzgushā'ī-yi payāmhā niyāzmand-i kilīd-i khusūsī ast.|Decrypting messages requires a private key.|Abstract Concepts|
2830|باج‌افزار|bāj-afzār|noun|formal|ransomware|حمله باج‌افزار به سیستم‌های بیمارستان خسارت وارد کرد.|hamla-yi bāj-afzār ba sīstam-hā-yi bīmāristān khasārat wārid kard.|The ransomware attack caused damage to the hospital's systems.|Abstract Concepts|
2831|مجوز دسترسی|mujawwiz-i dastrasī|noun|formal|access permission|مجوز دسترسی به فایل‌ها فقط برای مدیران است.|mujawwiz-i dastrasī ba fāyl-hā faqat barāyi mudīrān ast.|Access permission to the files is only for administrators.|Abstract Concepts|
2832|متدولوژی چابک|mētūdūlūzhī-yi chābuk|noun|formal|agile methodology|تیم توسعه از متدولوژی چابک استفاده می‌کند.|tīm-i tawsē'a az mētūdūlūzhī-yi chābuk istifāda mēkunad.|The development team uses the agile methodology.|Abstract Concepts|
2833|اسکرام|iskrām|noun|formal|scrum|اسکرام یکی از چارچوب‌های محبوب توسعه است.|iskrām yakī az chārchūb-hā-yi mahbūb-i tawsē'a ast.|Scrum is one of the popular development frameworks.|Abstract Concepts|
2834|تست نرم‌افزار|tist-i narm-afzār|noun|formal|software testing|تست نرم‌افزار قبل از انتشار محصول ضروری است.|tist-i narm-afzār qabl az intishār-i mahsūl zarūrī ast.|Software testing is necessary before the product release.|Science & Technology|
2835|تضمین کیفیت|tazmīn-i kayfiyat|noun|formal|quality assurance|تیم تضمین کیفیت باگ‌های زیادی پیدا کرد.|tīm-i tazmīn-i kayfiyat bāg-hā-yi ziyādī paydā kard.|The quality assurance team found many bugs.|Abstract Concepts|
2836|معماری نرم‌افزار|mi'mārī-yi narm-afzār|noun|formal|software architecture|معماری نرم‌افزار باید مقیاس‌پذیر باشد.|mi'mārī-yi narm-afzār bāyad miqyās-pazīr bāshad.|Software architecture must be scalable.|Science & Technology|
2837|میکروسرویس|mīkrūsirwīs|noun|formal|microservice|استفاده از معماری میکروسرویس‌ها رایج شده است.|istifāda az mi'mārī-yi mīkrūsirwīshā rāyij shuda ast.|The use of microservices architecture has become common.|Abstract Concepts|
2838|رابط برنامه‌نویسی|rābit-i barnāmanawīsī|noun|formal|API|این رابط برنامه‌نویسی برای اتصال به درگاه پرداخت است.|īn rābit-i barnāmanawīsī barāyi ittisāl ba dargāh-i pardākht ast.|This API is for connecting to the payment gateway.|Abstract Concepts|
2839|ذخیره‌گاه|zakhīra-gāh|noun|formal|repository|کدها در ذخیره‌گاه گیت‌هاب قرار دارند.|kūdhā dar zakhīra-gāh-i gīthāb qarār dārand.|The codes are located in the GitHub repository.|Abstract Concepts|
2840|نسخه‌گذاری|nusxha-guzārī|noun|formal|versioning|سیستم نسخه‌گذاری به مدیریت تغییرات کمک می‌کند.|sīstam-i nusxha-guzārī ba mudīriyat-i taghyīrāt kumak mēkunad.|The versioning system helps manage changes.|Abstract Concepts|
2841|مفسر|mufassir|noun|formal|interpreter|زبان‌های تفسیری از مفسر به جای کامپایلر استفاده می‌کنند.|zabān-hā-yi tafsīrī az mufassir ba jāy-i kāmpāylar istifāda mēkunand.|Interpreted languages use an interpreter instead of a compiler.|Abstract Concepts|
2842|اشکال‌زدایی|ishkāl-zudā'ī|noun|formal|debugging|اشکال‌زدایی کدها ساعت‌ها طول کشید.|ishkāl-zudā'ī-yi kūdhā sā'at-hā tūl kashīd.|Debugging the codes took hours.|Abstract Concepts|
2843|دایرکتوری|dāyriktūrī|noun|formal|directory|فایل‌ها در این دایرکتوری ذخیره شده‌اند.|fāyl-hā dar īn dāyriktūrī zakhīra shuda-and.|The files are saved in this directory.|Abstract Concepts|
2844|سرور ابری|sarwar-i abrī|noun|formal|cloud server|ما داده‌های خود را به یک سرور ابری منتقل کردیم.|mā dādahā-yi khwud rā ba yak sarwar-i abrī muntaqil kardēm.|We moved our data to a cloud server.|Nature & Environment|
2845|رایانش توزیع‌شده|rāyānish-i tawzī'-shuda|noun|formal|distributed computing|رایانش توزیع‌شده قدرت پردازش را بالا می‌برد.|rāyānish-i tawzī'-shuda qudrat-i pardāzish rā bālā mēbarad.|Distributed computing increases processing power.|Abstract Concepts|
2846|توازن بار|tawāzun-i bār|noun|formal|load balancing|توازن بار باعث جلوگیری از خرابی سرور می‌شود.|tawāzun-i bār bā'is-i jilawgīrī az kharābī-yi sarwar mēshavad.|Load balancing prevents server failure.|Abstract Concepts|
2847|مسیریاب|masīr-yāb|noun|formal|router|مسیریاب شبکه ما نیاز به تنظیم مجدد دارد.|masīr-yāb-i shabaka-yi mā niyāz ba tanzīm-i mujaddad dārad.|Our network router needs reconfiguration.|Abstract Concepts|
2848|سوییچ|suwīch|noun|formal|switch|سوییچ‌های شبکه برای اتصال دستگاه‌ها استفاده می‌شوند.|suwīch-hā-yi shabaka barāyi ittisāl-i dastgāh-hā istifāda mēshavand.|Network switches are used to connect devices.|Abstract Concepts|
2849|پروکسی|prūksī|noun|formal|proxy|سرور پروکسی می‌تواند دسترسی به اینترنت را کنترل کند.|sarwar-i prūksī mētawānad dastrasī ba īntarnēt rā kūntrūl kunad.|A proxy server can control internet access.|Abstract Concepts|
2850|تونل‌زنی|tūnūl-zanī|noun|formal|tunneling|پروتکل‌های تونل‌زنی برای ایجاد شبکه‌های خصوصی استفاده می‌شوند.|prūtūkūl-hā-yi tūnūl-zanī barāyi ījād-i shabakahā-yi khusūsī istifāda mēshavand.|Tunneling protocols are used to create private networks.|Abstract Concepts|
2851|طراحی وب|tarāhī-yi wib|noun|formal|web design|طراحی وب نیازمند آشنایی با فناوری‌های جدید است.|tarāhī-yi wib niyāzmand-i āshnā'ī bā fanāwarīhā-yi jadīd ast.|Web design requires familiarity with new technologies.|Science & Technology|
2852|برنامه‌نویسی سمت سرور|barnāmanawīsī-yi samt-i sarwar|noun|formal|back-end programming|او متخصص برنامه‌نویسی سمت سرور است.|ū mutaxassis-i barnāmanawīsī-yi samt-i sarwar ast.|He is a specialist in back-end programming.|Body & Anatomy|
2853|برنامه‌نویسی سمت کاربر|barnāmanawīsī-yi samt-i kārbar|noun|formal|front-end programming|فریم‌ورک‌های جدید برنامه‌نویسی سمت کاربر را متحول کرده‌اند.|frēm-wurk-hā-yi jadīd barnāmanawīsī-yi samt-i kārbar rā mutahawwil karda-and.|New frameworks have revolutionized front-end programming.|Abstract Concepts|
2854|پایگاه داده رابطه‌ای|pāygāh-i dāda-yi rābita-ī|noun|formal|relational database|ما از یک پایگاه داده رابطه‌ای برای ذخیره اطلاعات استفاده می‌کنیم.|mā az yak pāygāh-i dāda-yi rābita-ī barāyi zakhīra-yi ittilā'āt istifāda mēkunēm.|We use a relational database to store information.|Abstract Concepts|
2855|پرس‌وجو|purs-u-jō|noun|formal|query|اجرای این پرس‌وجو زمان زیادی می‌برد.|ijrā-yi īn purs-u-jō zamān-i ziyādī mēbarad.|Running this query takes a lot of time.|Abstract Concepts|
2856|شاخص‌گذاری|shākhis-guzārī|noun|formal|indexing|شاخص‌گذاری پایگاه داده عملکرد را بهبود بخشید.|shākhis-guzārī-yi pāygāh-i dāda 'amalkard rā bihbūd bakhshīd.|Database indexing improved performance.|Abstract Concepts|
2857|مهاجرت داده‌ها|muhājirat-i dādahā|noun|formal|data migration|پروژه مهاجرت داده‌ها ماه آینده آغاز می‌شود.|prūzha-yi muhājirat-i dādahā māh-i āyanda āghāz mēshavad.|The data migration project begins next month.|Science & Technology|
2858|انبار داده|anbār-i dāda|noun|formal|data warehouse|انبار داده برای تحلیل‌های تجاری استفاده می‌شود.|anbār-i dāda barāyi tahlīl-hā-yi tijārī istifāda mēshavad.|A data warehouse is used for business analytics.|Science & Technology|
2859|استخراج بیت‌کوین|istikhrāj-i bēt-kōyīn|noun|formal|bitcoin mining|استخراج بیت‌کوین برق زیادی مصرف می‌کند.|istikhrāj-i bēt-kōyīn barq-i ziyādī masraf mēkunad.|Bitcoin mining consumes a lot of electricity.|Abstract Concepts|
2860|تمرکززدایی|tamarkuz-zudā'ī|noun|formal|decentralization|تمرکززدایی یکی از اصول اصلی شبکه‌های بلاک‌چین است.|tamarkuz-zudā'ī yakī az usūl-i aslī-yi shabakahā-yi blāk-chēn ast.|Decentralization is one of the main principles of blockchain networks.|Abstract Concepts|
2861|اقتصاد دیجیتال|iqtisād-i dījītāl|noun|formal|digital economy|کشورها در حال گذار به اقتصاد دیجیتال هستند.|kishwarhā dar hāl-i guzār ba iqtisād-i dījītāl hastand.|Countries are transitioning to a digital economy.|Money & Finance|
2862|تحول دیجیتال|tahawwul-i dījītāl|noun|formal|digital transformation|سازمان‌ها برای بقا نیازمند تحول دیجیتال هستند.|sāzmānhā barāyi baqā niyāzmand-i tahawwul-i dījītāl hastand.|Organizations need digital transformation for survival.|Abstract Concepts|
2863|خودکارسازی|khwudkār-sāzī|noun|formal|automation|خودکارسازی فرآیندها هزینه‌ها را کاهش می‌دهد.|khwudkār-sāzī-yi farāyand-hā hazīnahā rā kāhish mēdihad.|Process automation reduces costs.|Abstract Concepts|
2864|یادگیری نظارت‌تنشده|yādgīrī-yi nizārat-nashuda|noun|formal|unsupervised learning|الگوریتم‌های یادگیری نظارت‌نشده الگوهای پنهان را کشف می‌کنند.|algūrītm-hā-yi yādgīrī-yi nizārat-nashuda ulgūhā-yi pinhān rā kashf mēkunand.|Unsupervised learning algorithms discover hidden patterns.|Abstract Concepts|
2865|یادگیری تقویتی|yādgīrī-yi taqwiyatī|noun|formal|reinforcement learning|یادگیری تقویتی در آموزش ربات‌ها استفاده می‌شود.|yādgīrī-yi taqwiyatī dar āmūzish-i rubāt-hā istifāda mēshavad.|Reinforcement learning is used in training robots.|Abstract Concepts|
2866|تجزیه و تحلیل احساسات|tajzīya wa tahlīl-i ihsāsāt|noun|formal|sentiment analysis|تجزیه و تحلیل احساسات به درک نظرات مشتریان کمک می‌کند.|tajzīya wa tahlīl-i ihsāsāt ba dark-i nazarāt-i mushtariyān kumak mēkunad.|Sentiment analysis helps understand customer opinions.|Abstract Concepts|
2867|تشخیص الگو|tashkhīs-i ulgū|noun|formal|pattern recognition|سیستم تشخیص الگو در حال پیشرفت است.|sīstam-i tashkhīs-i ulgū dar hāl-i pēshraft ast.|The pattern recognition system is advancing.|Abstract Concepts|
2868|بیوانفورماتیک|bīyū-īnfūrmātīk|noun|formal|bioinformatics|بیوانفورماتیک ترکیبی از زیست‌شناسی و علوم کامپیوتر است.|bīyū-īnfūrmātīk tarkībī az zīst-shināsī wa 'ulūm-i kāmpīyūtar ast.|Bioinformatics is a combination of biology and computer science.|Abstract Concepts|
2869|رابط مغز و رایانه|rābit-i maghz wa rāyāna|noun|formal|brain-computer interface|رابط مغز و رایانه به افراد معلول کمک می‌کند.|rābit-i maghz wa rāyāna ba afrād-i ma'lūl kumak mēkunad.|Brain-computer interfaces help disabled individuals.|Body & Anatomy|
2870|سایبرنتیک|sāybarnitīk|noun|formal|cybernetics|علم سایبرنتیک سیستم‌های کنترل را بررسی می‌کند.|'ilm-i sāybarnitīk sīstam-hā-yi kūntrūl rā barrasī mēkunad.|Cybernetics studies control systems.|Abstract Concepts|
2871|واقعیت ترکیبی|wāqi'iyat-i tarkībī|noun|formal|mixed reality|هدست‌های واقعیت ترکیبی تجربه کاربری بی‌نظیری ارائه می‌دهند.|hidsit-hā-yi wāqi'iyat-i tarkībī tajruba-yi kārbarī-yi bē-nazīrī irā'a mēdihand.|Mixed reality headsets offer an unparalleled user experience.|Abstract Concepts|
2872|هولوگرام|hūlūgrām|noun|formal|hologram|فناوری هولوگرام در آینده ارتباطات نقش مهمی خواهد داشت.|fanāwarī-yi hūlūgrām dar āyanda-yi irtibātāt naqsh-i muhimmī khāhad dāsht.|Hologram technology will play an important role in the future of communication.|Abstract Concepts|
2873|چاپ زیستی سه‌بعدی|chāp-i zīstī-yi si-bu'dī|noun|formal|3D bioprinting|چاپ زیستی سه‌بعدی برای ساخت اندام‌های مصنوعی استفاده می‌شود.|chāp-i zīstī-yi si-bu'dī barāyi sākht-i andām-hā-yi masnū'ī istifāda mēshavad.|3D bioprinting is used for creating artificial organs.|Abstract Concepts|
2874|سوخت زیستی|sōkht-i zīstī|noun|formal|biofuel|سوخت‌های زیستی می‌توانند جایگزین مناسبی برای سوخت‌های فسیلی باشند.|sōkht-hā-yi zīstī mētawānand jāyguzīn-i munāsibī barāyi sōkht-hā-yi fusīlī bāshand.|Biofuels can be a suitable alternative to fossil fuels.|Abstract Concepts|
2875|سلول خورشیدی|silūl-i khwurshēdī|noun|formal|solar cell|بازدهی سلول‌های خورشیدی جدید افزایش یافته است.|bāzdihī-yi silūl-hā-yi khwurshēdī-yi jadīd afzāyish yāfta ast.|The efficiency of new solar cells has increased.|Abstract Concepts|
2876|نانولوله کربنی|nānū-lūla-yi karbunī|noun|formal|carbon nanotube|نانولوله‌های کربنی مقاومت بسیار بالایی دارند.|nānū-lūlahā-yi karbunī muqāwamat-i bisyār bālā'ī dārand.|Carbon nanotubes have very high resistance.|Abstract Concepts|
2877|فناوری پوشیدنی|fanāwarī-yi pōshīdanī|noun|formal|wearable technology|ساعت‌های هوشمند نمونه‌ای از فناوری پوشیدنی هستند.|sā'at-hā-yi hūshmand namūna-ī az fanāwarī-yi pōshīdanī hastand.|Smartwatches are an example of wearable technology.|Science & Technology|
2878|خانه هوشمند|khāna-yi hūshmand|noun|formal|smart home|سیستم خانه هوشمند از طریق تلفن همراه کنترل می‌شود.|sīstam-i khāna-yi hūshmand az tarīq-i tilifūn-i hamrāh kūntrūl mēshavad.|The smart home system is controlled via mobile phone.|Home & Furniture|
2879|شهر هوشمند|shahr-i hūshmand|noun|formal|smart city|پروژه شهر هوشمند به کاهش ترافیک کمک می‌کند.|prūzha-yi shahr-i hūshmand ba kāhish-i tarāfīk kumak mēkunad.|The smart city project helps reduce traffic.|Society & Politics|
2880|پزشکی از راه دور|pizishkī az rāh-i dūr|noun|formal|telemedicine|پزشکی از راه دور خدمات درمانی را در مناطق دورافتاده فراهم می‌کند.|pizishkī az rāh-i dūr khadamāt-i darmānī rā dar manātiq-i dūr-uftāda farāham mēkunad.|Telemedicine provides healthcare services in remote areas.|Abstract Concepts|
2881|مهندسی ژنتیک|muhandisī-yi zhinētīk|noun|formal|genetic engineering|مهندسی ژنتیک در کشاورزی تحول ایجاد کرده است.|muhandisī-yi zhinētīk dar kishāwarzī tahawwul ījād karda ast.|Genetic engineering has created a revolution in agriculture.|Abstract Concepts|
2882|توالی‌یابی دی‌ان‌ای|tawālī-yābī-yi dī-in-ay|noun|formal|DNA sequencing|هزینه توالی‌یابی دی‌ان‌ای به شدت کاهش یافته است.|hazīna-yi tawālī-yābī-yi dī-in-ay ba shiddat kāhish yāfta ast.|The cost of DNA sequencing has drastically decreased.|Abstract Concepts|
2883|حسگر زیستی|hisgar-i zīstī|noun|formal|biosensor|حسگرهای زیستی برای تشخیص بیماری‌ها استفاده می‌شوند.|hisgarhā-yi zīstī barāyi tashkhīs-i bēmārīhā istifāda mēshavand.|Biosensors are used to diagnose diseases.|Abstract Concepts|
