rank	word	subsRank	wikiRank
1180	nazi	7143	4464
1181	cràter	15090	2119
1182	disculpa	1462	21873
1183	construint	4995	6408
1184	contactar	3465	9246
1185	conca	14576	2199
1186	significar	5929	5419
1187	rival	9330	3450
1188	escàndol	4953	6519
1189	daurat	6773	4778
1190	ofici	7894	4101
1191	impuls	7217	4487
1192	firma	4670	6941
1193	navegació	8696	3728
1194	coratge	3009	10774
1195	masia	33910	957
1196	excepcional	5978	5432
1197	presidència	13572	2396
1198	parcialment	13918	2337
1199	enfonsar	4739	6880
1200	comprometre	5616	5837
1201	descrit	13536	2422
1202	finca	10860	3021
1203	agrícola	32636	1007
1204	tones	9475	3469
1205	veïnat	4599	7147
1206	natal	14361	2291
1207	popularitat	14062	2342
1208	projecció	9905	3347
1209	llençar	3746	8881
1210	circ	5751	5794
1211	ofensiva	9640	3460
1212	vigilant	2149	15553
1213	defineix	13071	2558
1214	paradís	3993	8375
1215	exemplars	15230	2197
1216	successió	13237	2528
1217	convenció	10626	3150
1218	fallar	4119	8137
1219	perdonar	2436	13776
1220	vigilar	2861	11730
1221	dempeus	4296	7813
1222	programació	12952	2593
1223	vampirs	1248	26957
1224	mansió	4913	6853
1225	orientació	11593	2905
1226	republicans	7410	4545
1227	triangle	8378	4051
1228	tortura	3734	9095
1229	urbana	12560	2706
1230	denunciar	6017	5649
1231	rara	4400	7736
1232	preocupar	3282	10419
1233	tècnicament	4223	8098
1234	apunta	3751	9131
1235	aparcament	4158	8250
1236	recte	4811	7134
1237	bessons	4496	7641
1238	majoritàriament	15219	2264
1239	rata	2594	13288
1240	ciutadella	5776	5970
1241	turc	6506	5306
1242	ruptura	6520	5295
1243	desagradable	2847	12142
1244	bombardeig	6750	5122
1245	gamma	14107	2451
1246	vertical	13147	2630
1247	centra	10413	3323
1248	baró	7972	4344
1249	bàsic	8431	4109
1250	persecució	8138	4266
1251	encendre	3917	8865
1252	associat	12440	2793
1253	traduir	9730	3593
1254	alimentació	11253	3109
1255	caos	4583	7643
1256	alça	5945	5907
1257	làser	4491	7833
1258	inauguració	6628	5308
1259	dormitori	2866	12280
1260	lliurement	6010	5856
1261	exploració	7993	4410
1262	disposar	9508	3710
1263	tapa	4633	7623
1264	ventre	5643	6260
1265	dosi	4604	7682
1266	conquesta	12925	2738
1267	coincidència	2918	12131
1268	efectivament	6435	5503
1269	addicional	10216	3468
1270	pretén	9195	3856
1271	concretament	11731	3034
1272	promoure	15213	2348
1273	lleuger	8689	4112
1274	gabinet	7747	4616
1275	gasolina	3184	11242
1276	qué	1814	19755
1277	tio	1117	32096
1278	socialista	15892	2257
1279	dominar	6895	5220
1280	mot	9856	3662
1281	casino	5233	6903
1282	físicament	7261	4976
1283	irregular	13447	2689
1284	centrar	10468	3458
1285	jazz	9301	3893
1286	exemplar	7695	4707
1287	morí	13285	2731
1288	rumb	3679	9869
1289	enamorar	3779	9624
1290	racó	4355	8365
1291	suïcidar	6291	5793
1292	catàleg	11973	3053
1293	prosperitat	5905	6191
1294	especialitat	5490	6665
1295	contenir	8663	4237
1296	financer	6937	5293
1297	franja	9192	3998
1298	malson	2495	14732
1299	caçadors	6030	6105
1300	espectacular	5873	6272
1301	imposar	12498	2954
1302	ençà	8807	4193
1303	compondre	20979	1762
1304	liberal	12352	2999
1305	submarí	5393	6871
1306	poderosos	5223	7109
1307	singular	10660	3485
1308	eficaç	10211	3640
1309	rodatge	10933	3403
1310	tradicionalment	17961	2073
1311	guaita	3164	11785
1312	escolar	10986	3396
1313	sofrir	7462	5006
1314	sonar	4112	9093
1315	gir	8513	4396
1316	cine	5074	7381
1317	greix	5010	7493
1318	aguantar	3049	12328
1319	boom	3316	11338
1320	terrestre	10427	3608
1321	famosos	9401	4009
1322	digne	4083	9233
1323	màgic	4663	8086
1324	trigar	5725	6606
1325	infermeria	3627	10431
1326	guardià	3572	10595
1327	republicà	10326	3670
1328	fracassar	7786	4874
1329	minerals	9945	3818
1330	dificultat	13104	2906
1331	restar	8053	4729
1332	deessa	7737	4929
1333	inclosa	13441	2838
1334	exclusivament	16888	2270
1335	competir	9004	4258
1336	ferma	5853	6560
1337	perillosos	3826	10063
1338	comiat	4570	8428
1339	ferir	3195	12061
1340	vestíbul	7685	5015
1341	efectiva	10013	3850
1342	regional	18517	2084
1343	taca	4722	8193
1344	empresonat	10133	3822
1345	àmplia	24463	1589
1346	públicament	7460	5211
1347	editorial	32181	1211
1348	interrompre	4264	9143
1349	fumar	2431	16045
1350	partidaris	10777	3623
1351	estrictament	7567	5170
1352	aportar	9377	4181
1353	diversió	4043	9713
1354	suec	7206	5486
1355	massiva	7617	5204
1356	lliçó	2460	16121
1357	finalitzar	18327	2165
1358	animar	7149	5552
1359	sotmetre	10283	3865
1360	sisè	7180	5547
1361	estrenar	20259	1968
1362	candidatura	8730	4569
1363	atreure	8595	4646
1364	immediata	7234	5523
1365	magnífic	4108	9726
1366	extracció	8208	4870
1367	invisible	4719	8474
1368	casualitat	3201	12496
1369	veïna	7799	5130
1370	ballet	10126	3953
1371	misteriós	5864	6829
1372	boda	2941	13625
1373	afer	4858	8249
1374	triple	7089	5667
1375	joguines	4307	9363
1376	precedents	8007	5042
1377	esdevingut	10196	3968
1378	rellevant	9494	4263
1379	interns	8941	4546
1380	revolucionari	9274	4404
1381	gota	4356	9387
1382	difunt	6263	6530
1383	assabentar	5400	7574
1384	guarnició	9686	4229
1385	corba	10876	3779
1386	dol	4058	10133
1387	contenen	17794	2312
1388	sia	3659	11281
1389	contrast	12454	3315
1390	funcionaris	12360	3343
1391	calla	647	63885
1392	transformació	17177	2407
1393	fixar	8459	4889
1394	intens	8719	4748
1395	natius	4209	9854
1396	primària	13770	3014
1397	parent	5668	7349
1398	titulat	17781	2343
1399	detectar	10447	3991
1400	independentment	10110	4125
1401	especialista	6333	6589
1402	apreciar	9419	4435
1403	reflex	7187	5818
1404	extreure	7826	5355
1405	complert	4176	10037
1406	incorporar	21863	1918
1407	educat	5497	7629
1408	juvenil	12176	3446
1409	durs	5160	8134
1410	reaccionar	5984	7018
1411	formalment	9066	4637
1412	musulmans	18845	2231
1413	gruix	14796	2842
1414	ofert	4508	9346
1415	comtessa	6273	6717
1416	escamot	2831	14891
1417	preparació	13283	3175
1418	historiadors	17657	2389
1419	pic	10437	4052
1420	específica	10903	3881
1421	preciós	1823	23219
1422	cedir	9986	4240
1423	estatus	15487	2735
1424	condicional	4124	10277
1425	vegetal	8641	4914
1426	test	5472	7771
1427	observador	7496	5673
1428	extraordinària	6337	6712
1429	sòlid	9696	4390
1430	planejar	5679	7498
1431	facilitar	13981	3048
1432	barrera	9543	4477
1433	canceller	4526	9448
1434	helicòpter	4444	9627
1435	triomf	10404	4115
1436	exploradors	5058	8473
1437	psicologia	9020	4752
1438	ostres	1365	31473
1439	comanda	5938	7237
1440	fina	8733	4928
1441	atzar	5161	8342
1442	femelles	17940	2400
1443	suposadament	8058	5346
1444	pero	2004	21497
1445	funcional	10396	4148
1446	abús	6341	6813
1447	misericòrdia	3721	11619
1448	camperols	10129	4269
1449	terç	11061	3914
1450	capellà	6611	6551
1451	esfera	10137	4284
1452	privilegi	5936	7318
1453	globus	7920	5508
1454	sorprès	4059	10768
1455	mòdul	8461	5169
1456	afrontar	6433	6802
1457	devoció	8339	5252
1458	enterrament	7719	5674
1459	hisenda	7869	5569
1460	jedi	2863	15311
1461	acudir	7458	5900
1462	cardenal	13997	3148
1463	creixen	6973	6326
1464	rarament	10480	4216
1465	modificacions	15306	2893
1466	orígens	18910	2347
1467	mana	3185	13936
1468	naval	14816	2996
1469	interacció	12955	3427
1470	novetat	6885	6452
1471	pol	7626	5844
1472	descendents	15250	2926
1473	bassa	9118	4895
1474	àmpliament	19573	2284
1475	operatiu	10483	4273
1476	concentra	5552	8075
1477	venjar	7053	6364
1478	rol	11760	3819
1479	gest	6865	6543
1480	llàstima	1568	28677
1481	claredat	5547	8128
1482	mecànica	12994	3472
1483	obvi	3018	14976
1484	joia	4726	9572
1485	exposar	10223	4437
1486	puresa	5697	7967
1487	benvingut	1177	38642
1488	terrorisme	4829	9420
1489	utilitat	9129	4984
1490	sabor	7408	6152
1491	diví	7335	6221
1492	reforçar	10221	4466
1493	comportar	9748	4704
1494	fortament	14627	3137
1495	radical	11275	4074
1496	alè	3095	14846
1497	mercenaris	5798	7958
1498	quarter	6352	7267
1499	jaciment	12832	3599
1500	bou	9114	5070
